Date,Open,High,Low,Close,Volume
2022-09-12,14.351757175213589,14.529543066590088,14.18096190060258,14.487593650817873,484159000
2022-09-13,13.78543726600946,13.90529314840451,13.083280816767804,13.115242004394531,714956000
2022-09-14,13.238095726138331,13.274052779821837,12.897505301404207,13.112247467041016,588507000
2022-09-15,12.999380851810937,13.217118685798232,12.77465049657677,12.91348361968994,523625000
2022-09-16,12.726709159579556,13.196145423815514,12.601859160237112,13.182162284851074,670751000
2022-09-17,12.726709159579556,13.196145423815514,12.601859160237112,13.182162284851074,670751000
2022-09-18,12.726709159579556,13.196145423815514,12.601859160237112,13.182162284851074,670751000
2022-09-19,12.996387031012944,13.446846091073702,12.994389575590436,13.36594295501709,569685000
2022-09-20,13.199141429675532,13.466819464487608,13.0413310459368,13.16018772125244,524818000
2022-09-21,13.197144886473634,14.014163138166955,13.09426784489799,13.245086669921877,807679000
2022-09-22,13.054315095432624,13.133220764262274,12.413086279296454,12.545926094055176,759162000
2022-09-23,12.405095860810974,12.595866642258116,12.24229135695442,12.500980377197266,663309000
2022-09-24,12.405095860810974,12.595866642258116,12.24229135695442,12.500980377197266,663309000
2022-09-25,12.405095860810974,12.595866642258116,12.24229135695442,12.500980377197266,663309000
2022-09-26,12.476010375556603,12.643808988477636,12.19934236212235,12.21332550048828,547343000
2022-09-27,12.491993653510724,12.72071898311097,12.243292815893591,12.398106575012209,553854000
2022-09-28,12.39510747291623,12.807611967130406,12.339174918454615,12.72071647644043,542414000
2022-09-29,12.43306169251464,12.484999335471636,11.931664263986637,12.20533561706543,532763000
2022-09-30,12.07249492052454,12.617840174725137,12.06050923727058,12.124432563781738,565638000
2022-10-01,12.07249492052454,12.617840174725137,12.06050923727058,12.124432563781738,565638000
2022-10-02,12.07249492052454,12.617840174725137,12.06050923727058,12.124432563781738,565638000
2022-10-03,12.332184417959828,12.66278756428956,12.090474225179374,12.496986389160156,547478000
2022-10-04,12.863544835805731,13.204136190107327,12.863544835805731,13.151199340820312,584182000
2022-10-05,12.895507767366093,13.305015637695266,12.605855789387167,13.19314956665039,507131000
2022-10-06,13.20413661584121,13.639613297811657,13.087276433613106,13.11424446105957,644157000
2022-10-07,12.489995225103874,12.654797201659376,12.007574980325952,12.06151008605957,672478000
2022-10-08,12.489995225103874,12.654797201659376,12.007574980325952,12.06151008605957,672478000
2022-10-09,12.489995225103874,12.654797201659376,12.007574980325952,12.06151008605957,672478000
2022-10-10,12.022555556989856,12.10945105214364,11.394310633276682,11.655996322631836,698699000
2022-10-11,11.547127205645026,11.831785066433634,11.269460914699508,11.572097778320312,667482000
2022-10-12,11.56510504715587,11.72091702336587,11.331385654046086,11.486199378967283,492590000
2022-10-13,10.957834660470663,12.063506625372144,10.800024266039834,11.945648193359377,850103000
2022-10-14,12.042532615828511,12.096467720598303,11.190556467712574,11.213528633117676,713432000
2022-10-15,12.042532615828511,12.096467720598303,11.190556467712574,11.213528633117676,713432000
2022-10-16,12.042532615828511,12.096467720598303,11.190556467712574,11.213528633117676,713432000
2022-10-17,11.504177647717126,11.933661937528136,11.503179396409214,11.873733520507812,580774000
2022-10-18,12.329187034111122,12.477009197539308,11.604058403445793,11.95263957977295,659362000
2022-10-19,11.86474459720197,12.33518005536354,11.819798522186153,12.036538124084473,523131000
